date,capital,position,position_value,total_assets,signal,strategy,dataset
2015-04-30,89790.86312959586,3178,10088.876042758797,99879.73917235466,buy,MA Cross,train
2015-05-01,89790.86312959586,3178,10033.284131105838,99824.1472607017,buy,MA Cross,train
2015-05-04,89790.86312959586,3178,10326.76243446113,100117.62556405699,buy,MA Cross,train
2015-05-05,89790.86312959586,3178,10223.666036941573,100014.52916653744,buy,MA Cross,train
2015-05-06,89790.86312959586,3178,10417.532984568365,100208.39611416422,buy,MA Cross,train
2015-05-07,89790.86312959586,3178,10583.97267205381,100374.83580164966,buy,MA Cross,train
2015-05-08,89790.86312959586,3178,10707.335805756757,100498.19893535262,buy,MA Cross,train
2015-05-11,89790.86312959586,3178,10638.815132706526,100429.67826230239,buy,MA Cross,train
2015-05-12,100633.77804634627,0,0.0,100633.77804634627,sell,MA Cross,train
2015-05-13,90570.49332972491,2884,10063.28471662136,100633.77804634627,buy,MA Cross,train
2015-05-14,90570.49332972491,2884,10194.51550232406,100765.00883204897,buy,MA Cross,train
2015-05-15,90570.49332972491,2884,10214.707703215212,100785.20103294012,buy,MA Cross,train
2015-05-18,90570.49332972491,2884,10445.57990518366,101016.07323490857,buy,MA Cross,train
2015-05-19,90570.49332972491,2884,10552.980813370197,101123.47414309511,buy,MA Cross,train
2015-05-20,90570.49332972491,2884,10476.827988485324,101047.32131821023,buy,MA Cross,train
2015-05-21,90570.49332972491,2884,10366.680699885503,100937.17402961041,buy,MA Cross,train
2015-05-22,90570.49332972491,2884,10106.125934458933,100676.61926418384,buy,MA Cross,train
2015-05-25,90570.49332972491,2884,9916.693539193368,100487.18686891827,buy,MA Cross,train
2015-05-26,90570.49332972491,2884,9981.040595427952,100551.53392515286,buy,MA Cross,train
2015-05-27,90570.49332972491,2884,9920.277355674503,100490.77068539942,buy,MA Cross,train
2015-05-28,90570.49332972491,2884,9879.646637617676,100450.13996734258,buy,MA Cross,train
2015-05-29,90570.49332972491,2884,10103.269378222834,100673.76270794774,buy,MA Cross,train
2015-06-01,90570.49332972491,2884,10118.21669619133,100688.71002591624,buy,MA Cross,train
2015-06-02,100637.88996133336,0,0.0,100637.88996133336,sell,MA Cross,train
2015-06-03,90576.57761786133,2844,10061.312343472035,100637.88996133336,buy,MA Cross,train
2015-06-04,90576.57761786133,2844,10194.2271064681,100770.80472432943,buy,MA Cross,train
2015-06-05,90576.57761786133,2844,10159.93453349679,100736.51215135813,buy,MA Cross,train
2015-06-08,90576.57761786133,2844,9868.922205632629,100445.49982349396,buy,MA Cross,train
2015-06-09,90576.57761786133,2844,9870.051987616544,100446.62960547788,buy,MA Cross,train
2015-06-10,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-11,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-12,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-15,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-16,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-17,100464.97363299294,0,0.0,100464.97363299294,sell,MA Cross,train
2015-06-18,90418.52624100256,2851,10046.447391990387,100464.97363299294,buy,MA Cross,train
2015-06-19,90418.52624100256,2851,9966.090578923868,100384.61681992642,buy,MA Cross,train
2015-06-22,90418.52624100256,2851,10195.951625573438,100614.477866576,buy,MA Cross,train
2015-06-23,90418.52624100256,2851,10116.380056578324,100534.90629758089,buy,MA Cross,train
2015-06-24,90418.52624100256,2851,10081.139635903377,100499.66587690594,buy,MA Cross,train
2015-06-25,90418.52624100256,2851,10221.012100842143,100639.5383418447,buy,MA Cross,train
2015-06-26,90418.52624100256,2851,10225.581032853264,100644.10727385583,buy,MA Cross,train
2015-06-29,90418.52624100256,2851,10227.958190013023,100646.48443101559,buy,MA Cross,train
2015-06-30,90418.52624100256,2851,10299.896110962369,100718.42235196492,buy,MA Cross,train
2015-07-01,90418.52624100256,2851,10309.464450015419,100727.99069101799,buy,MA Cross,train
2015-07-02,90418.52624100256,2851,10431.216670501593,100849.74291150416,buy,MA Cross,train
2015-07-03,90418.52624100256,2851,10560.574551821785,100979.10079282435,buy,MA Cross,train
2015-07-06,90418.52624100256,2851,10662.144197511792,101080.67043851435,buy,MA Cross,train
2015-07-07,90418.52624100256,2851,10645.870444570679,101064.39668557324,buy,MA Cross,train
2015-07-08,90418.52624100256,2851,10546.188795382473,100964.71503638504,buy,MA Cross,train
2015-07-09,90418.52624100256,2851,10705.272819189613,101123.79906019218,buy,MA Cross,train
2015-07-10,101285.33521326038,0,0.0,101285.33521326038,sell,MA Cross,train
2015-07-13,91160.08118314939,2611,10125.25403011098,101285.33521326038,buy,MA Cross,train
2015-07-14,91160.08118314939,2611,10084.96235133666,101245.04353448606,buy,MA Cross,train
2015-07-15,91160.08118314939,2611,9829.72655164815,100989.80773479753,buy,MA Cross,train
2015-07-16,100690.62607275738,0,0.0,100690.62607275738,sell,MA Cross,train
2015-07-17,90623.87565097475,2755,10066.750421782634,100690.62607275738,buy,MA Cross,train
2015-07-20,90623.87565097475,2755,9957.516498562343,100581.39214953709,buy,MA Cross,train
2015-07-21,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-22,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-23,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-24,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-27,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-28,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-29,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-30,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-07-31,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-03,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-04,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-05,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-06,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-07,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-10,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-11,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-12,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-13,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-14,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-17,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-18,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-19,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-20,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-21,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-24,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-25,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-26,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-27,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-28,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-08-31,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-09-01,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-09-02,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-09-03,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-09-04,100398.15428620891,0,0.0,100398.15428620891,sell,MA Cross,train
2015-09-07,90361.39616252415,2859,10036.758123684756,100398.15428620891,buy,MA Cross,train
2015-09-08,90361.39616252415,2859,9881.290759295835,100242.68692181999,buy,MA Cross,train
2015-09-09,90361.39616252415,2859,9816.405488814937,100177.80165133909,buy,MA Cross,train
2015-09-10,90361.39616252415,2859,9862.56723701643,100223.96339954057,buy,MA Cross,train
2015-09-11,90361.39616252415,2859,9752.322745597552,100113.71890812171,buy,MA Cross,train
2015-09-14,100089.26365979246,0,0.0,100089.26365979246,sell,MA Cross,train
2015-09-15,90081.93676191548,2936,10007.32689787698,100089.26365979246,buy,MA Cross,train
2015-09-16,90081.93676191548,2936,9891.22746681585,99973.16422873133,buy,MA Cross,train
2015-09-17,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-18,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-21,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-22,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-23,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-24,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-25,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-28,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-29,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-09-30,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-10-01,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-10-02,99923.29829080208,0,0.0,99923.29829080208,sell,MA Cross,train
2015-10-05,89932.85361574324,2929,9990.444675058845,99923.29829080208,buy,MA Cross,train
2015-10-06,89932.85361574324,2929,9867.423562176704,99800.27717791994,buy,MA Cross,train
2015-10-07,89932.85361574324,2929,9798.290792628171,99731.14440837142,buy,MA Cross,train
2015-10-08,89932.85361574324,2929,9796.960266047876,99729.81388179111,buy,MA Cross,train
2015-10-09,89932.85361574324,2929,9848.766662034557,99781.6202777778,buy,MA Cross,train
2015-10-12,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-13,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-14,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-15,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-16,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-19,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-20,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-21,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-22,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-23,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-26,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-27,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-28,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-29,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-10-30,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-02,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-03,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-04,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-05,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-06,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-09,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-10,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-11,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-12,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-13,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-16,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-17,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-18,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-19,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-20,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-23,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-24,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-25,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-26,99722.38264468138,0,0.0,99722.38264468138,sell,MA Cross,train
2015-11-27,89751.94457068582,3141,9970.438073995549,99722.38264468138,buy,MA Cross,train
2015-11-30,89751.94457068582,3141,9849.089492188185,99601.03406287401,buy,MA Cross,train
2015-12-01,89751.94457068582,3141,9953.409225430394,99705.35379611622,buy,MA Cross,train
2015-12-02,89751.94457068582,3141,9913.156144124974,99665.1007148108,buy,MA Cross,train
2015-12-03,89751.94457068582,3141,9774.184710738486,99526.1292814243,buy,MA Cross,train
2015-12-04,89751.94457068582,3141,9889.818912593315,99641.76348327914,buy,MA Cross,train
2015-12-07,89751.94457068582,3141,9803.550265772135,99555.49483645796,buy,MA Cross,train
2015-12-08,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-09,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-10,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-11,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-14,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-15,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-16,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-17,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-18,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-21,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-22,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-23,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-24,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-25,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-28,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-29,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-30,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2015-12-31,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-01,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-04,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-05,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-06,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-07,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-08,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-11,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-12,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-13,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-14,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-15,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-18,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-19,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-20,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-21,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-22,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-25,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-26,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-27,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-28,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-01-29,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-01,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-02,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-03,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-04,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-05,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-08,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-09,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-10,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-11,99358.06490066079,0,0.0,99358.06490066079,sell,MA Cross,train
2016-02-12,89423.92522254869,3362,9934.139678112097,99358.06490066079,buy,MA Cross,train
2016-02-15,89423.92522254869,3362,9924.615075150828,99348.54029769951,buy,MA Cross,train
2016-02-16,89423.92522254869,3362,9912.643630773482,99336.56885332217,buy,MA Cross,train
2016-02-17,89423.92522254869,3362,10060.475882352965,99484.40110490166,buy,MA Cross,train
2016-02-18,89423.92522254869,3362,10034.53541111866,99458.46063366735,buy,MA Cross,train
2016-02-19,89423.92522254869,3362,10051.896466700415,99475.8216892491,buy,MA Cross,train
2016-02-22,89423.92522254869,3362,10225.544366638454,99649.46958918714,buy,MA Cross,train
2016-02-23,89423.92522254869,3362,10081.932491101197,99505.85771364988,buy,MA Cross,train
2016-02-24,89423.92522254869,3362,10270.215960222626,99694.14118277132,buy,MA Cross,train
2016-02-25,89423.92522254869,3362,10088.046191016512,99511.9714135652,buy,MA Cross,train
2016-02-26,89423.92522254869,3362,10195.707362486697,99619.63258503538,buy,MA Cross,train
2016-02-29,89423.92522254869,3362,10243.398185091884,99667.32340764056,buy,MA Cross,train
2016-03-01,89423.92522254869,3362,10320.338818216766,99744.26404076545,buy,MA Cross,train
2016-03-02,89423.92522254869,3362,10154.909971815227,99578.83519436391,buy,MA Cross,train
2016-03-03,89423.92522254869,3362,10156.80603060101,99580.7312531497,buy,MA Cross,train
2016-03-04,89423.92522254869,3362,10047.879680320899,99471.80490286958,buy,MA Cross,train
2016-03-07,89423.92522254869,3362,9990.910970903467,99414.83619345215,buy,MA Cross,train
2016-03-08,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-09,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-10,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-11,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-14,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-15,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-16,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-17,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-18,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-21,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-22,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-23,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-24,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-25,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-28,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-29,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-30,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-03-31,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-04-01,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-04-04,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-04-05,99233.0972717771,0,0.0,99233.0972717771,sell,MA Cross,train
2016-04-06,89311.2974828922,3419,9921.799788884897,99233.0972717771,buy,MA Cross,train
2016-04-07,89311.2974828922,3419,9848.27824225992,99159.57572515213,buy,MA Cross,train
2016-04-08,89311.2974828922,3419,9903.753306006,99215.0507888982,buy,MA Cross,train
2016-04-11,89311.2974828922,3419,9788.83452445658,99100.13200734879,buy,MA Cross,train
2016-04-12,89311.2974828922,3419,9813.741222564113,99125.03870545632,buy,MA Cross,train
2016-04-13,89311.2974828922,3419,9969.118937145595,99280.4164200378,buy,MA Cross,train
2016-04-14,89311.2974828922,3419,9908.633478635136,99219.93096152734,buy,MA Cross,train
2016-04-15,89311.2974828922,3419,9710.088886601834,99021.38636949404,buy,MA Cross,train
2016-04-18,89311.2974828922,3419,9662.557773010038,98973.85525590224,buy,MA Cross,train
